tchr,g,uid,pr_raw,pr_prcnt,(1.MD.UR_L)r,(2.MD.UR.pr)r,(3.MD.UR.pr) r   ,(5.MS.UR.pr)r,(6.MS.UR.pr)r,(7.MS.UR.pr)r,(10.MD.NUR.pr)r,(11.MD.NUR.pr)r ,(12.MD.NUR_L)r ,(14.MS.NUR.pr)r   ,(15.MS.NUR.pr)r   ,(16.MS.NUR_L)r  ,(19.ND.NUR.pr)r   ,(20.ND.NUR.pr)r  ,(21.ND.NUR_L)r   ,(25.NS.NUR.pr)r   ,(26.NS.NUR.pr)r   ,(27.NS.NUR.pr)r  ,(32.MT.UR.pr)r   ,(33.MT.UR.pr)r  ,(34.MT.UR_L)r  ,(38.MT.NUR.pr)r ,(39.MT.NUR.pr)r  ,(40.MT.NUR_L)r 
Ms. Geyer,6,8352,22,91.70%,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Geyer,6,8353,12,50.00%,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ms. Geyer,6,8354,21,87.50%,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Ms. Geyer,6,8355,10,41.70%,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Ms. Geyer,6,8356,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
Ms. Geyer,6,8359,10,41.70%,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0
Ms. Trombino,6,8360,20,83.30%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Trombino,6,8361,17,70.80%,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0
Ms. Trombino,6,8363,19,79.20%,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0
Ms. Trombino,6,8364,10,41.70%,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8365,18,75.00%,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1
Ms. Trombino,6,8367,11,45.80%,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
Ms. Trombino,6,8368,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8369,18,75.00%,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0
Ms. Trombino,6,8370,14,58.30%,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0
Ms. Trombino,6,8371,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8372,21,87.50%,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ms. Trombino,6,8373,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
Ms. Trombino,6,8374,17,70.80%,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1
Ms. Trombino,6,8375,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Ms. Trombino,6,8376,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
Ms. Trombino,6,8377,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8378,16,66.70%,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1
Ms. Trombino,6,8379,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Ms. Trombino,6,8380,13,54.20%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
Ms. Trombino,6,8381,20,83.30%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
Mr. Brain,6,8382,16,66.70%,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
Mr. Brain,7,8383,20,83.30%,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Mr. Brain,6,8384,18,75.00%,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
Mr. Brain,6,8386,18,75.00%,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1
Mr. Brain,6,8387,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Mr. Brain,6,8388,18,75.00%,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1
Mr. Brain,6,8393,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mr. Brain,6,8394,21,87.50%,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ms. Jander,3,8401,15,62.50%,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1
Ms. Jander,3,8402,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0
Ms. Jander,3,8403,7,29.20%,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Jander,3,8405,16,66.70%,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0
Ms. Jander,3,8407,21,87.50%,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Ms. Jander,3,8408,5,20.80%,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Jander,3,8412,10,41.70%,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
Ms. Jander,3,8413,7,29.20%,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Jander,3,8414,11,45.80%,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Ms. Jander,3,8415,13,54.20%,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
Ms. Jander,3,8417,10,41.70%,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Ms. Jander,3,8418,10,41.70%,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Ms. Jander,3,8419,11,45.80%,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Ms. Jander,3,8420,14,58.30%,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
Ms. Jander,3,8421,4,16.70%,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Jander,3,8422,8,33.30%,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ms. Jander,3,8423,6,25.00%,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Jander,3,8424,12,50.00%,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
Ms. Jander,3,8425,9,37.50%,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ms. Jander,3,8426,20,83.30%,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0
Ms. Jander,3,8427,7,29.20%,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ms. Jander,3,8428,13,54.20%,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
Ms. Trombino,6,8432,12,50.00%,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
Ms. Trombino,6,8434,21,87.50%,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Ms. Trombino,6,8435,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8436,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Trombino,6,8437,19,79.20%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
Ms. Trombino,8,8438,22,91.70%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Trombino,6,8439,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8440,14,58.30%,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0
Ms. Trombino,6,8441,15,62.50%,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1
Ms. Trombino,6,8442,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ms. Trombino,6,8443,13,54.20%,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0
Ms. Trombino,6,8444,18,75.00%,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Trombino,6,8445,6,25.00%,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8446,2,8.30%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8447,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8448,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8449,13,54.20%,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0
Ms. Trombino,6,8450,13,54.20%,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
Ms. Trombino,7,8451,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ms. Trombino,6,8452,22,91.70%,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
Ms. Trombino,6,8453,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Ms. Trombino,6,8454,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Ms. Trombino,6,8455,7,29.20%,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8456,6,25.00%,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ms. Trombino,6,8458,21,87.50%,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
Ms. Giddens,7,8463,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8464,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8465,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8466,22,91.70%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Giddens,8,8467,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8468,13,54.20%,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1
Ms. Giddens,8,8469,11,45.80%,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Giddens,8,8470,19,79.20%,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Ms. Giddens,8,8471,22,91.70%,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Ms. Giddens,8,8472,21,87.50%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Ms. Giddens,8,8473,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8474,18,75.00%,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Ms. Giddens,8,8475,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,7,8477,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8478,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ms. Giddens,8,8479,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,8,8480,21,87.50%,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
Ms. Giddens,8,8481,14,58.30%,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1
Ms. Giddens,7,8482,19,79.20%,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0
Ms. Giddens,7,8483,14,58.30%,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1
Ms. Giddens,7,8484,20,83.30%,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Giddens,7,8485,13,54.20%,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
Ms. Giddens,8,8486,8,33.30%,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
Ms. Giddens,8,8487,13,54.20%,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Ms. Giddens,7,8489,14,58.30%,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1
Ms. Giddens,7,8490,6,25.00%,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Giddens,8,8491,3,12.50%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Giddens,8,8492,9,37.50%,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ms. Giddens,7,8493,5,20.80%,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Trombino,6,8494,12,50.00%,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
Ms. Trombino,6,8495,6,25.00%,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ms. Trombino,6,8496,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
Ms. Trombino,6,8497,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Ms. Trombino,6,8498,16,66.70%,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0
Ms. Trombino,6,8499,10,41.70%,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Ms. Trombino,6,8500,18,75.00%,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0
Ms. Trombino,6,8501,19,79.20%,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
Ms. Trombino,6,8502,14,58.30%,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
Ms. Trombino,6,8503,18,75.00%,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1
Ms. Trombino,6,8504,20,83.30%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
Ms. Trombino,6,8505,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8506,16,66.70%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0
Ms. Trombino,6,8507,12,50.00%,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1
Ms. Trombino,6,8508,23,95.80%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Ms. Trombino,6,8509,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8510,23,95.80%,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8511,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Trombino,6,8512,17,70.80%,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0
Ms. Trombino,6,8513,14,58.30%,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
Ms. Giddens,7,8514,9,37.50%,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Ms. Trombino,6,8515,18,75.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
Ms. Giddens,7,8518,18,75.00%,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1
Ms. Giddens,7,8520,11,45.80%,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Ms. Fox,7,8522,19,79.20%,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Ms. Fox,8,8524,14,58.30%,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0
Ms. Giddens,8,8525,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms. Novack,6,8529,14,58.30%,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
Ms. Novack,6,8530,22,91.70%,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Ms. Novack,6,8531,24,100.00%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Novack,6,8532,18,75.00%,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1
Ms. Novack,6,8533,16,66.70%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0
Ms. Novack,6,8534,19,79.20%,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1
Ms. Novack,6,8535,10,41.70%,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ms. Novack,6,8536,6,25.00%,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ms. Novack,6,8537,18,75.00%,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
Ms. Novack,6,8538,17,70.80%,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0
Ms. Novack,6,8539,10,41.70%,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ms. Novack,6,8540,21,87.50%,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Ms. Novack,6,8542,19,79.20%,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
Ms. Novack,6,8543,13,54.20%,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
